Date,Price,Open,High,Low,Change %
2023-03-13,38.13,39.29,46.28,34.33,3.73%
2023-03-10,36.76,36.14,36.98,35.42,5.45%
2023-03-09,34.86,32.81,34.92,31.96,4.40%
2023-03-08,33.39,33.82,34.54,33.35,-1.10%
2023-03-07,33.76,32.83,33.82,32.25,2.21%
2023-03-06,33.03,35.92,36.56,33.01,-6.16%
2023-03-03,35.2,37.21,38.51,35.19,-1.15%
2023-03-02,35.61,37.25,39.17,35.59,-2.78%
2023-03-01,36.63,36.58,37.95,36.34,3.42%
2023-02-28,35.42,38.15,38.36,35.38,-5.67%
2023-02-27,37.55,39.7,39.7,37.45,0.81%
2023-02-24,37.25,37.63,38.62,36.99,1.53%
2023-02-23,36.69,39.4,39.51,36.67,-4.35%
2023-02-22,38.36,37.56,38.62,37.41,3.54%
2023-02-21,37.05,37.88,38.05,36.92,2.80%
2023-02-17,36.04,36.08,38.58,35.95,2.88%
2023-02-16,35.03,36.43,36.49,34.68,-1.88%
2023-02-15,35.7,37.4,38.19,35.42,-2.65%
2023-02-14,36.67,39.15,39.18,36.54,-2.91%
2023-02-13,37.77,36.06,37.82,35.21,5.24%
2023-02-10,35.89,35.81,36.18,34.97,0.39%
2023-02-09,35.75,35.24,36.77,35.06,-3.43%
2023-02-08,37.02,36.31,37.1,35.79,-0.78%
2023-02-07,37.31,38.95,39.72,37.22,-4.14%
2023-02-06,38.92,39.81,40.1,38.87,-1.42%
2023-02-03,39.48,39.37,40.11,37.54,2.57%
2023-02-02,38.49,39.07,39.18,38.01,1.32%
2023-02-01,37.99,37.53,39.16,37.18,-1.45%
2023-01-31,38.55,40.36,40.99,38.55,-4.06%
2023-01-30,40.18,39.76,40.81,39.76,4.09%
2023-01-27,38.6,38.89,38.92,36.9,1.26%
2023-01-26,38.12,38.96,39.01,37.61,-1.09%
2023-01-25,38.54,39.88,39.92,38.26,0.73%
2023-01-24,38.26,38.33,38.8,37.5,2.57%
2023-01-23,37.3,40.5,40.5,37.08,-1.35%
2023-01-20,37.81,40.56,40.56,37.53,-3.10%
2023-01-19,39.02,41.83,41.83,38.9,-0.59%
2023-01-18,39.25,40.45,40.52,38.59,-2.12%
2023-01-17,40.1,40.13,40.79,39.09,5.00%
2023-01-13,38.19,38.85,39.11,37.48,-2.77%
2023-01-12,39.28,40.6,40.65,39.13,-4.64%
2023-01-11,41.19,41.38,42.22,40.79,-0.99%
2023-01-10,41.6,42.39,42.39,41.39,-2.69%
2023-01-09,42.75,43.97,45.17,42.25,-0.44%
2023-01-06,42.94,44.76,45.52,42.75,-2.25%
2023-01-05,43.93,46.88,46.88,43.68,-4.15%
2023-01-04,45.83,46.19,46.19,44.5,3.83%
2023-01-03,44.14,42.74,44.73,42.74,6.98%
2022-12-30,41.26,42.83,43.39,41.2,-3.15%
2022-12-29,42.6,44.04,45.5,42.03,-3.07%
2022-12-28,43.95,42.58,44.78,42.58,1.03%
2022-12-27,43.5,44.7,44.9,42.9,5.56%
2022-12-23,41.21,43.87,43.91,41.1,-1.41%
2022-12-22,41.8,42.39,42.57,41.17,1.51%
2022-12-21,41.18,43.15,43.9,41,-1.46%
2022-12-20,41.79,43.83,44.04,41.33,-1.60%
2022-12-19,42.47,44.86,45.55,42.34,0.43%
2022-12-16,42.29,44.72,45.29,42.02,-3.23%
2022-12-15,43.7,44.8,45.02,43.44,4.50%
2022-12-14,41.82,43.02,43.73,41.44,-3.57%
2022-12-13,43.37,44.85,45.43,42.53,-3.60%
2022-12-12,44.99,45.66,46.43,44.58,-4.13%
2022-12-09,46.93,47.13,47.72,46.16,-0.51%
2022-12-08,47.17,46.46,48.01,45.92,-1.54%
2022-12-07,47.91,45.91,48.25,45.41,3.34%
2022-12-06,46.36,45.85,47.3,44.29,2.09%
2022-12-05,45.41,47.34,47.64,44.71,-0.76%
2022-12-02,45.76,46,46.16,45.15,0.33%
2022-12-01,45.61,50.03,50.03,45.17,-1.17%
