Date,PNL,STD_A,STD_B,STD_C,STD_D,STD_E,STD_F,STD_G,STD_Sum,STD_Total,STD_Diff,Open_Vol,Perc_Change_Vol,Perc_Change_Price,Volume,Open_Int,Range,High_Diff,High_Vol,High_PC_Price,High_PC_Vol
2022-06-10,-177233.0,97669.97714609932,22043.388675366477,2847.736609444128,2068.305394951484,17580.594403159615,10029.3018765348,82889.94916371223,235129.25326926805,127796.87324716346,107332.3800221046,49.47,2.17,1.04,837492.0,1744296.0,2.8900000000000006,1,1,0,0
2022-06-09,-425159.0,69217.41875057058,18695.338927673187,5753.843777433972,494.1919096188251,20427.35105436752,10646.072993246522,79373.95737157104,204608.17478448164,131497.54080645568,73110.63397802596,47.5,1.13,0.27,689661.0,1760703.0,1.3100000000000023,0,0,0,0
2022-06-08,-182140.0,85189.9458300521,23166.84580373406,1839.7128637172325,939.230065337883,12186.78959662877,2882.030083914936,83455.2047246837,209659.7589680687,140232.77587894868,69426.98308912001,49.48,3.29,2.09,768436.0,1784061.0,2.6200000000000045,0,1,1,1
2022-06-07,-255591.0,87444.98750810296,17696.381725920444,3703.86637678788,680.1670050541292,21320.843481292017,3396.327320478049,102823.9168685051,237066.4902861406,152921.79456972546,84144.69571641512,51.3,4.22,2.06,802973.0,1790618.0,2.010000000000005,0,1,1,1
2022-06-06,-284453.0,69667.82781450117,16041.872433942985,3827.4644311399848,1573.0653869980813,12267.595623120556,16335.445438367082,95950.57263572906,215663.8437637989,127834.7366752134,87829.10708858552,51.3,3.61,0.13,519159.0,1824500.0,1.6499999999999915,0,1,0,1
2022-06-03,-183779.0,71580.84106316631,17209.168210018335,2523.5058173915254,3948.406977030261,10192.780312904946,2440.145581957459,85717.49925180372,193612.34721427257,123123.60085459736,70488.7463596752,47.8,3.28,1.21,517839.0,1820899.0,3.259999999999991,0,0,0,1
2022-06-02,-277896.0,65872.587448893,18214.749522397706,4152.828386699902,318.48752911161364,17628.696336840378,4680.048531181383,88863.03504469832,199730.4327998223,140117.0416244997,59613.39117532261,49.14,2.73,1.54,799581.0,1810295.0,3.6599999999999966,0,1,1,1
2022-06-01,-439678.0,82214.19398475076,23034.90422056083,2053.3758373820674,510.88060354630574,11465.195468085023,11248.333749865333,89431.01476856778,219957.8986327581,144730.0097543737,75227.8888783844,49.82,1.36,1.08,671174.0,1802324.0,1.1299999999999955,0,1,0,0
2022-05-31,-777349.0,79210.21184213377,202131.2635429552,3685.493679694264,3156.163695670294,19014.730221725764,13838.127242345869,100664.11542994152,421700.10565446666,251541.22075916044,170158.88489530623,51.77,3.96,0.87,918603.0,1787928.0,3.6299999999999955,1,1,0,1
2022-05-27,-201139.0,81760.64315639676,19725.73458044443,3946.8335151419,325.2311379398556,13348.128116019116,3353.369022607317,111268.49895526112,233728.4384838105,167983.80343077428,65744.63505303621,46.03,4.11,0.67,437308.0,1768423.0,1.9299999999999926,0,0,0,1
2022-05-26,-46963.0,81459.46217563961,23177.94906624072,3839.964504692096,655.4417528987946,10628.384310349638,7049.698727608212,92559.4307682964,219370.33130572547,162591.68466444314,56778.646641282336,46.76,1.56,1.98,559681.0,1755569.0,2.489999999999995,0,0,1,0
2022-05-25,93052.0,94648.08056851616,16943.23605288945,5474.691795325334,204.3446395842873,11612.690777839012,6237.364480334586,87753.32537046983,222873.73368495863,169968.99656278576,52904.73712217287,47.04,0.6,0.66,399031.0,1722645.0,0.8799999999999955,0,0,0,0
2022-05-24,-8186.0,104049.85193145263,41243.5978374164,5589.284632754488,3665.693161716045,15223.988414367424,4972.700883650575,96262.71102702628,271007.8278883838,186067.8633678517,84939.96452053211,48.63,3.27,0.38,479220.0,1711863.0,2.3800000000000097,0,1,0,1
