,Date,STD_A,STD_B,STD_C,STD_D,STD_E,STD_F,STD_G,STD_Sum,STD_Total
169,2022-08-29,81904.15298116971,33258.985041038875,1263.822595379837,1500.6794763078994,10732.185485233907,14666.837111836612,121320.40527216232,264647.06796312914,167611.39636507063
170,2022-08-30,109260.58718735633,36540.16217324191,3154.168010590862,3961.2118516542296,20051.800077649565,17678.872492814564,87022.96893715563,277669.7707304631,184072.02526298378
171,2022-08-31,72770.04038577892,154576.35151340373,4088.6630324790126,686.9975071722235,10037.643736571104,5958.479858629265,90919.40181066321,339037.57784469746,208002.66269238995
172,2022-09-01,83588.36518592921,30231.14481390033,5239.878969075244,1466.0998977307172,18531.616305515945,3787.486446807018,105039.97141009993,247884.5630290584,161356.64062753925
173,2022-09-02,83811.60643083701,39285.03468573226,3607.5305179324973,1151.590846858861,14857.841411356569,8259.907784346411,98223.84139568223,249197.35307274584,144788.26780547082
174,2022-09-05,76312.21004148622,36807.58456243619,4350.388654894538,1666.506909624821,10061.169819871073,8312.751588398138,95069.80913711134,232580.4207138223,146092.66911232515
175,2022-09-06,76518.70186074467,31412.854137511844,5140.079696250432,1353.2055970824752,11154.82401594598,3455.772131425235,98640.55780794432,227675.99524690496,150445.0021966004
176,2022-09-07,93728.12177890245,31412.692224292765,4594.981127525589,2335.895658406285,14978.141825877365,8842.487453167743,87650.05211638115,243542.37218455336,162419.66139402607
177,2022-09-08,76727.2760584608,29861.917536381134,4715.890974237951,841.809654396391,15442.4744905472,18589.635423258384,87848.62960581304,234027.6337430949,144371.126280899
178,2022-09-09,85217.51633305264,28005.72359532411,3146.845202651281,859.254678661257,19987.65815750381,5120.59190322048,94834.827462935,237172.41733334857,155773.8023597554
179,2022-09-12,81635.70765343311,28817.943516692063,5619.369855079473,2052.2377832176007,12005.027066494014,5124.6408593694705,115624.57502341268,250879.50175769842,160742.1728755781
180,2022-09-13,59047.37816617049,29539.041020654113,2947.6263167415545,2468.256651527876,23601.14639341482,6633.463227636216,115271.11536087978,239508.02713702485,148794.44721882112
181,2022-09-14,74579.31368460393,31054.961602649702,5435.952988385312,1083.7966142424114,19051.603397410472,22836.850503819576,117489.54137684066,271532.02016795205,166159.89141821006
182,2022-09-15,79763.29691746824,34993.22552658609,6874.2613915400525,653.2423523432052,22107.831879256457,13452.22071299243,113306.16404101603,271150.2428212025,163464.467490765
183,2022-09-16,57332.80986401534,50514.313015303305,16598.72169806516,236.03417697024707,15317.019727489413,5739.641341390712,106436.25279212724,252174.7926153614,135864.2515034085
184,2022-09-19,55139.649236355785,26263.50554443875,22365.417282428338,1775.2983622347244,8383.463606777404,6807.359755373691,96494.3002374312,217228.9940250399,127050.88621936814
185,2022-09-20,97830.7082610102,133351.13528605897,29012.426101232377,980.9305777164924,9441.745751430783,10371.11940956794,88857.38256235774,369845.44794937456,185395.70862431542
186,2022-09-21,93315.87489584874,20266.7035288463,32634.175557084698,1009.1388590753896,12318.020086591681,3219.5920355932026,85151.44634450655,247914.95130754655,139276.80856609996
187,2022-09-22,88868.65369436338,21810.981586044087,35248.39523263965,959.3619619235259,24871.784672146066,3563.9350713472563,87639.6332351534,262962.7454536174,140823.41390584325
188,2022-09-23,89445.25383812435,18255.54521494535,38689.30250222978,264.1563684613791,5175.866167822196,2893.9179989593995,87514.53268166515,242238.5747722076,138990.71429597653
189,2022-09-26,84838.6863804148,27401.184883034082,30063.39979242388,1068.7695156758887,15198.611269412278,5436.50711935209,93567.6186279621,257574.77758827512,156930.92403075958
190,2022-09-27,88916.51582600575,22068.367911855083,31961.69946934617,475.8840301765771,11205.044486885488,15821.706262898639,101561.43040153556,272010.64838870324,155029.34291044067
191,2022-09-28,109264.62331078228,21255.308383697502,41889.02632998891,214.814386556452,13027.75878362154,5292.580692401297,100980.26067226157,291924.37255930953,150957.74457874356
192,2022-09-29,113355.5843154906,18842.519205921082,36422.302494098105,609.3768199225865,24867.706939588872,3759.1868331461355,91186.34055998945,289043.01716815686,156335.0636953931
193,2022-09-30,108685.38875543051,21294.214628230482,34322.536810069745,1091.1225511608486,10079.534311112116,12478.508719704729,97598.68733621757,285549.99311192596,151793.1139425814
194,2022-10-03,116608.16328858164,20695.84922281743,31343.89603712669,1049.4847114774557,15466.823953588613,14649.095031986837,89442.03679863685,289255.34904421546,161303.71534900417
195,2022-10-04,120420.49966392628,21511.6958160374,27048.561508342398,1062.7596379596675,13984.730350835425,9676.643543208962,82261.46833723427,275966.3588575444,157296.56500312968
196,2022-10-05,125330.79605778499,24037.39422628312,29976.90231500081,523.51359520898,16027.729750191767,5780.620542187524,86310.94017627547,287987.8966629327,162898.3401442478
197,2022-10-06,115926.65110897152,19548.041820438917,38677.149247840964,275.24944357669307,8144.476885476105,2681.25598998237,95536.86572815423,280789.69022444077,158761.8012664979
198,2022-10-07,117055.01774164783,24002.18350070753,28587.538154338257,306.5097747029667,14369.429770453662,3132.7493917905895,96995.06670286972,284448.4950365106,169146.10073727046
199,2022-10-10,102175.82635633006,20153.492763775746,26894.682420318448,454.42103336795924,17451.329584247454,10012.056107302442,97768.45897491762,274910.2672402597,156464.28109656647
200,2022-10-11,103732.79846636901,34776.59123278751,35165.30669039451,425.75357698668387,14374.27479836364,14029.313782484982,104789.51757642221,307293.55612380855,170421.9580590713
201,2022-10-12,94946.95772979515,19917.870183484316,28934.021243414725,814.4251143687674,20429.46659555469,3892.366518526778,112734.3538027561,281669.4611879005,186981.33083431606
202,2022-10-13,88267.79079563494,18478.050048080397,29761.433750894557,612.0872605732662,17076.329935952384,1980.4288142098665,120230.44007473718,276406.56068008253,175358.86007540478
203,2022-10-14,100744.82068638798,21778.02500681001,24407.463087229982,598.5148089447273,24145.96239969641,14889.290599678425,124255.41027896137,310819.48686770885,197932.74099350726
204,2022-10-17,97228.83171554157,25007.532324058317,21967.922282574524,1589.8205021854744,18606.634720449052,2328.7734471128424,160532.72202812403,327262.2370200458,215699.7020011009
205,2022-10-18,90458.61100275927,20788.3212592926,19238.45528378115,547.3533180767022,21324.210071746144,7484.661064765518,167395.42823792892,327237.0402383503,210913.8773200666
206,2022-10-19,82441.8247168527,19967.288059813345,27674.35477655544,3202.3925191884036,21605.947446787057,2804.9898523149077,196110.42427063442,353807.22164214624,233963.12556169735
207,2022-10-20,64495.11096763529,24591.013713334753,27582.922878197758,2573.8405073503523,23818.626681894053,4011.0496665860787,193056.4045131505,340128.9689281488,220688.57243438848
208,2022-10-21,62736.26319171355,27654.196910136397,35564.849154227144,1503.0241642804103,24270.687887588716,14242.608841286501,186563.311618074,352534.94176730677,218711.27699300885
209,2022-10-24,58448.33561359701,24252.454822878157,23782.890374941995,167.43856580779018,17743.008900134304,2751.698132156194,193981.23248709887,321127.0588966143,223425.4601727533
210,2022-10-25,67540.56915033373,24516.174691926873,32526.615212033452,850.2990524239544,23327.25663044254,3437.616623486849,211862.4703739384,364061.00173458585,253247.47115339787
211,2022-10-26,56276.65806822112,26304.416984316158,26068.01362661006,1404.9419678708223,21373.940114753626,5273.850485613172,206747.03589416572,343448.85714155063,251341.94953959747
212,2022-10-27,49472.1221265026,24792.393233015973,9757.308647828293,1219.5902682819135,19578.6519172752,3560.8765993959814,242193.02454483372,350573.9673371337,268958.706043575
213,2022-10-28,53380.95050423815,30044.52640698473,8578.553123499509,1200.492912466294,23269.430275942286,2444.1780008730566,241714.6475047298,360632.7787287338,267663.8807441675
214,2022-10-31,50823.40066587408,114689.01775613023,7178.841060299179,1008.8181491829619,20948.360739243933,12901.033460243883,223814.14146080767,431363.613291782,259489.45814177478
215,2022-11-01,49499.05610349304,24308.142198164143,5820.843281158078,869.0354273083069,22937.80890043759,4031.785845647591,221898.799546244,329365.47130245273,237627.62759484115
216,2022-11-02,49711.00014298672,22775.88144032684,7395.681389171437,3089.8619265945063,23453.821605631365,12115.669171416388,222668.05369696178,341209.969373089,242689.39782071311
217,2022-11-03,52978.98376572101,23020.414243451614,5509.763404605353,681.5151200572041,23359.552924629552,12201.627862484722,208421.58889364355,326173.446214593,227181.5113765871
218,2022-11-04,44657.99236497715,27579.682536251676,10925.866419222397,1688.5018524954858,24663.795506153332,9912.051401192835,221160.94755044198,340588.83763073484,251978.19264120318
219,2022-11-07,28827.721691716444,18907.12338582867,8083.869066244104,1028.654332836273,20935.017424568818,4749.330486115942,244330.1976020586,326861.9139893688,252800.64379377692
220,2022-11-08,46025.83851917717,20181.49890183201,8089.056434842126,1598.7009811913215,20207.306183120134,11517.34863942878,239193.00382638696,346812.75348597846,259810.4347088334
221,2022-11-09,43176.896735495335,20656.947451265438,6791.583136308049,572.237111426223,23079.250975495775,5639.058957771619,223819.63703136222,323735.61139912467,211396.2146662511
